Date,Open,High,Low,Close,Vol,OI
1/14/10,1264.9,1273.7,1257.7,1270,165713,255635
1/15/10,1269,1273,1253.5,1257.5,144699,246102
1/19/10,1260.8,1267.7,1254.5,1267,188027,230502
1/20/10,1265.5,1268.7,1233.8,1239.6,232575,216554
1/21/10,1239.4,1244.4,1215,1230.2,271810,197322
1/22/10,1222.4,1225.9,1208.9,1216.7,214203,171788
1/25/10,1220.5,1231,1219.2,1222.7,155359,146626
1/26/10,1224.9,1230.2,1212.2,1225.3,230154,95596
1/27/10,1224.4,1229.1,1210,1211.5,206694,47946
1/28/10,1214.8,1222.7,1200.2,1210.6,101168,10489
1/29/10,1212.8,1217.2,1200.8,1209.6,182586,302336
2/1/10,1209.6,1234.6,1203,1230.8,162343,303045
2/2/10,1233.1,1245.7,1225.3,1243.8,154491,303295
2/3/10,1241.6,1252.2,1233.3,1237.8,158610,301656
2/4/10,1235.9,1237.8,1184.8,1188.8,280754,295604
2/5/10,1191.5,1195.2,1170.3,1178.6,253584,297764
2/8/10,1194.1,1200.1,1187.6,1192,142157,280429
2/9/10,1188.2,1209.6,1187.9,1203,184386,287223
2/10/10,1204.4,1208.8,1188.9,1202.1,163920,285378
2/11/10,1199.6,1224.2,1198.7,1220.5,188052,277737
2/12/10,1220.4,1223.5,1203.9,1215.8,153310,273115
2/16/10,1227.6,1247.7,1217.8,1245.6,179062,283617
2/17/10,1245.6,1254.5,1231.3,1245.9,172886,280769
2/18/10,1234.1,1250.6,1223.9,1244.5,188706,284863
2/19/10,1234.2,1253.2,1225.1,1247.9,170952,287548
2/22/10,1247.9,1257.3,1235.8,1238.9,137551,278887
2/23/10,1239.9,1247.5,1225.4,1229,161291,278820
2/24/10,1229.3,1234.6,1216,1223,176130,271813
2/25/10,1222,1235.8,1214.3,1234.3,206758,280052
2/26/10,1233.8,1245.3,1230.4,1244.7,129613,273758
3/1/10,1244.7,1249.7,1237.9,1244.1,124679,277963
3/2/10,1243.8,1264.1,1240.8,1263.2,193281,277665
3/3/10,1260.3,1271.6,1258.6,1269.1,159134,275912
3/4/10,1265.6,1268.1,1251.7,1258.9,154142,278721
3/5/10,1258.7,1267,1253.3,1261,150034,276928
3/8/10,1261.8,1263.8,1244.3,1249.8,140539,266247
3/9/10,1249.6,1250.9,1234,1248.1,153991,256558
3/10/10,1247.3,1254.1,1228.9,1233.9,201367,244256
3/11/10,1234.7,1237.5,1226.3,1234,136646,239898
3/12/10,1235.8,1245.3,1223.1,1227.5,159858,247827
3/15/10,1227.5,1236.3,1226.8,1231.2,130831,222518
3/16/10,1234.1,1255.1,1233.9,1248.3,141796,228413
3/17/10,1252.1,1259.7,1244,1250,130316,218157
3/18/10,1250.3,1255.3,1244,1253.3,123991,217298
3/19/10,1251.6,1253.3,1226.8,1233.4,176491,203770
3/22/10,1233.8,1234.4,1217.9,1225.3,159063,183145
3/23/10,1228.3,1233.8,1219.8,1229.5,146151,171276
3/24/10,1228,1231.8,1210.6,1214.6,178057,152090
3/25/10,1213.2,1221.4,1211.3,1218.7,159336,125193
3/26/10,1217.4,1235.6,1214.3,1230.1,177735,91285
3/29/10,1236.2,1240.5,1228.9,1236.1,158733,39869
3/30/10,1235.5,1238.7,1226.9,1230.3,56533,15354
3/31/10,1229.7,1244.5,1227.7,1239.1,108481,283090
4/1/10,1239.1,1253.7,1236.9,1250.7,118743,300920
